xnumber,last_name,first_name,sex,date_of_birth,class,company
x70001,Jones,Paul,Male,1994-09-01,2017,B4
x70002,Johnson,Edward,Male,1994-10-15,2017,C1
x70003,Singh,Rohit,Male,1994-08-23,2017,D2
x70004,Cruz,Victoria,Female,1995-01-05,2017,E3
x70005,Gutierrez,Helena,Female,1995-02-25,2017,F4
x70006,Walker,Thomas,Male,1995-03-01,2017,G1
x70007,Smith,John,Male,1994-12-05,2017,H2
x70008,Garcia,Maria,Female,2994-11-04,2017,I3
x70009,Smith,Paula,Female,1995-05-24,2017,A4
x70010,Baker,David,Male,1995-04-01,2017,B3
x80001,Hernandez,James,Male,1995-07-29,2018,C4
x80002,Johnson,Mary,Female,1996-02-04,2018,B4
x80003,Hussein,Miriam,Female,1995-08-04,2018,C1
x80004,Ventura,Colin,Male,1995-09-08,2018,D2
x80005,Adams,Jacob,Male,1995-10-09,2018,E3
x80006,Ali,Mustafa,Male,1995-11-10,2018,F4
x80007,Bassu,Sai,Female,1995-11-12,2018,G1
x80008,Chen,Bo,Male,1995-12-01,2018,H2
x80009,Alexander,Charles,Male,1996-03-02,2018,I3
x80010,Smith,Elizabeth,Female,1996-02-08,2018,A4
x90001,Salazar,John,Male,1996-06-30,2019,B3
x90002,Gupta,Colin,Male,1996-06-01,2019,C4
x90003,Knight,Edward,Male,1996-07-19,2019,D4
x90004,Dawson,Joy,Female,1996-08-23,2019,E1
x90005,Li,Anh,Female,1996-12-06,2019,F2
x90006,Dietz,Clay,Male,1996-11-09,2019,G3
x90007,Estes,Mark,Male,1996-10-18,2019,H4
x90008,Spence,Frank,Male,1997-01-09,2019,I1
x90009,O'Brien,Tanya,Female,1997-02-19,2019,A2
x90010,Chapman,Frank,Male,1997-04-03,2019,B3
x00001,Hatch,Jennifer,Female,1997-09-28,2020,C4
x00002,Moody,Jason,Male,1998-03-27,2020,D1
x00003,Moreno,Juan,Male,1997-09-01,2020,B3
x00004,Jones,Timothy,Male,1997-10-03,2020,C4
x00005,Garcia,Mary,Female,1997-11-27,2020,D4
x00006,Mahmood,Daniel,Male,1998-01-05,2020,E1
x00007,McCormick,Kevin,Male,1998-05-15,2020,F2
x00008,Wu,Saijen,Female,1997-11-30,2020,G3
x00009,Taylor,Richard,Male,1998-06-04,2020,H4
x00010,Arnold,Ralph,Male,1998-05-01,2020,I1
